"time","survival","lower","upper","strata"
0,1,1,1,"0-4"
0,1,1,1,"5-17"
0,1,1,1,"18-39"
0,1,1,1,"40-64"
0,1,1,1,"65-85"
11,0.999903945858146,0.99970884594288,1.00009908384848,"0-4"
15,0.999706096717342,0.99936824227115,1.00004406538132,"0-4"
16,0.999507290401524,0.999071189489542,0.99994358167432,"0-4"
17,0.999109359847204,0.99852445801816,0.999694604291941,"0-4"
19,0.998910872149938,0.998264318302569,0.999557844756017,"0-4"
20,0.998313815702444,0.997510394880575,0.999117883620344,"0-4"
21,0.997517634067569,0.996543880344124,0.998492339275773,"0-4"
22,0.996621890133357,0.995486968170847,0.997758105983082,"0-4"
23,0.99622395741484,0.995024395937038,0.997424965035816,"0-4"
24,0.995129086512827,0.993767862260975,0.996492175316286,"0-4"
25,0.994532027161876,0.993090351398348,0.995975795815548,"0-4"
26,0.99383540583327,0.992305339302745,0.995367831621067,"0-4"
27,0.992939658242844,0.991303148399121,0.994578869746976,"0-4"
28,0.991944347965765,0.990197391490823,0.99369438650995,"0-4"
29,0.990550787550188,0.988660433562852,0.992444755961724,"0-4"
30,0.989256786762006,0.987242739069967,0.991274943259251,"0-4"
31,0.988161910046334,0.986049079134859,0.990279268171063,"0-4"
32,0.987166595875321,0.984967993745447,0.989370105627937,"0-4"
33,0.986370408705132,0.984105641626684,0.988640387795079,"0-4"
34,0.985474657915793,0.983137832207426,0.987817038038011,"0-4"
35,0.984280218264585,0.981850873093067,0.986715574244999,"0-4"
36,0.982587962687348,0.980033727174542,0.98514885523539,"0-4"
37,0.981493081747364,0.978861375615718,0.98413186332129,"0-4"
38,0.97999995050673,0.977266465087807,0.982741081683286,"0-4"
39,0.978905069721558,0.976099463682987,0.981718739923194,"0-4"
40,0.975619799948721,0.972609597533313,0.97863931886543,"0-4"
41,0.973728412281608,0.970606949112437,0.976859914048098,"0-4"
42,0.971936584345377,0.968713653373285,0.975170238077507,"0-4"
43,0.969049561936615,0.965670533679989,0.972440413927694,"0-4"
44,0.967058608149197,0.963576453217,0.970553346829088,"0-4"
45,0.964470271764655,0.960859185451107,0.968094929207628,"0-4"
46,0.962280183744955,0.958564003483581,0.966010770968916,"0-4"
47,0.959890968892935,0.956064019527135,0.963733236836935,"0-4"
48,0.957402189661294,0.953463787121869,0.961356860269598,"0-4"
49,0.955610357599946,0.951593937933602,0.959643729483294,"0-4"
50,0.954117212575849,0.950037132665997,0.958214815013503,"0-4"
51,0.952026680830496,0.947859523246532,0.956212158853201,"0-4"
52,0.950433973711467,0.946201909139883,0.954684966981424,"0-4"
53,0.948940824647707,0.944649004782991,0.953252143519629,"0-4"
54,0.947746364328597,0.943407461256484,0.952105222807724,"0-4"
55,0.947049722767789,0.942683631847713,0.951436035477316,"0-4"
56,0.946651770459479,0.942270232788764,0.951053682192424,"0-4"
57,0.946054688805838,0.94165011505889,0.950479864971436,"0-4"
58,0.945158914366263,0.940720082575022,0.949618690993313,"0-4"
59,0.944362707415532,0.939893700252365,0.948852963816798,"0-4"
60,0.943267802853205,0.938757738868337,0.947799534491297,"0-4"
61,0.942471593609383,0.937931957730682,0.947033201544522,"0-4"
62,0.941575817397161,0.937003210630096,0.946170738637015,"0-4"
63,0.940680044652575,0.936074771670939,0.945307974520046,"0-4"
64,0.940580782093676,0.935971893307805,0.945212365851472,"0-4"
65,0.940282390030954,0.935662681139593,0.944924908114849,"0-4"
66,0.939983995776352,0.935353499449742,0.944637415517738,"0-4"
67,0.939685601249192,0.935044350079222,0.944349890056276,"0-4"
68,0.939387207376459,0.934735233799364,0.944062332812369,"0-4"
69,0.939287944201934,0.934632401906157,0.943966676442789,"0-4"
70,0.939089115084106,0.934426448177684,0.943775048094269,"0-4"
71,0.938790722948267,0.934117397873347,0.943487428347015,"0-4"
72,0.938691458353683,0.934014585729278,0.94339174938919,"0-4"
75,0.938592794483535,0.933912374926802,0.943296670552695,"0-4"
76,0.938294402582691,0.933603377634438,0.943008998263005,"0-4"
77,0.938195137048057,0.933500581990997,0.942913300925088,"0-4"
79,0.938096171061038,0.93339808786767,0.942817901169885,"0-4"
84,0.93799810573576,0.933296493517387,0.942723402986281,"0-4"
89,0.937900040222382,0.93319490243346,0.942628901160193,"0-4"
9,0.999972544014203,0.999914239439097,1.00003085198902,"5-17"
11,0.999943304076323,0.99986085103823,1.00002576391387,"5-17"
12,0.99988405956683,0.999767459491453,1.00000067324095,"5-17"
13,0.999854564747154,0.99972420452174,0.999984941971045,"5-17"
14,0.999735821062875,0.999560941782187,0.99991073093976,"5-17"
15,0.999617077250784,0.999406916058122,0.999827282637383,"5-17"
16,0.999468584044772,0.999221313157732,0.999715916122351,"5-17"
17,0.99911184350036,0.998792702787705,0.999431086186922,"5-17"
18,0.998755102695334,0.99837757693431,0.999132771213671,"5-17"
19,0.998279362721748,0.997835851500062,0.998723071072254,"5-17"
20,0.997625125704626,0.997104463869023,0.998146059416203,"5-17"
21,0.996792389368748,0.996187746607851,0.997397399121579,"5-17"
22,0.995513406900554,0.994799033610221,0.996228293188167,"5-17"
23,0.994353422856228,0.993552626334014,0.995154864814881,"5-17"
24,0.993193439222237,0.992314862431107,0.994072793888624,"5-17"
25,0.992271452039086,0.99133575946945,0.993208027781326,"5-17"
26,0.991289964014793,0.990297190154961,0.992283733131349,"5-17"
27,0.990159728003335,0.989105188160848,0.991215392149176,"5-17"
28,0.9889997417243,0.987885507897609,0.9901152322928,"5-17"
29,0.987869503686443,0.986700162983847,0.989040230177478,"5-17"
30,0.986709517919362,0.985486328956459,0.987934225108541,"5-17"
31,0.985698279096604,0.984430104757705,0.986968087138237,"5-17"
32,0.98427054271484,0.982941629526794,0.98560125256121,"5-17"
33,0.983199801027039,0.981827194661,0.984574326313482,"5-17"
34,0.982248058950457,0.980837825807944,0.983660319703922,"5-17"
35,0.981296315796867,0.979849507566202,0.982745260329116,"5-17"
36,0.980285074420161,0.978800473093589,0.981771927524454,"5-17"
37,0.978827586465307,0.977290313988657,0.980367277063404,"5-17"
38,0.976804852210392,0.975197639839208,0.978414713410388,"5-17"
39,0.974425118271646,0.972739727319002,0.976113429370948,"5-17"
