"time","survival","lower","upper","strata","variable"
0,1,1,1,"No","School membership"
0,1,1,1,"Yes","School membership"
1,0.999977357589738,0.999944576569242,1.00001013968489,"No","School membership"
2,0.999961033156212,0.999916358869964,1.00000570943842,"No","School membership"
3,0.999944702586128,0.999890691479069,0.999998716610705,"No","School membership"
4,0.999896757488041,0.999828890111315,0.999964629471535,"No","School membership"
5,0.99986145703977,0.999784077592614,0.999938842475798,"No","School membership"
6,0.999800851712574,0.999711501508315,0.999890209902596,"No","School membership"
7,0.999759211776167,0.999661647351929,0.999856785722443,"No","School membership"
8,0.99973020074384,0.999626528452393,0.999833883787248,"No","School membership"
9,0.999688531500704,0.9995776972908,0.999799378000021,"No","School membership"
10,0.999596237640115,0.999473563445208,0.999718926891906,"No","School membership"
11,0.999541921326415,0.999411956109815,0.99967190344391,"No","School membership"
12,0.999462278385574,0.999323183184535,0.99960139294719,"No","School membership"
13,0.999388961582971,0.999241822456685,0.999536122375606,"No","School membership"
14,0.999227009703725,0.999065448498959,0.99938859703493,"No","School membership"
15,0.999052425855617,0.998876762840555,0.999228119762874,"No","School membership"
16,0.998827178032442,0.998635243813825,0.999019149140148,"No","School membership"
17,0.998450019038105,0.99823439625266,0.998665688398969,"No","School membership"
18,0.997971620376273,0.997729576996496,0.998213722474364,"No","School membership"
19,0.997208339037866,0.996929882956283,0.997486872896021,"No","School membership"
20,0.996312111785155,0.995996424629723,0.99662789899956,"No","School membership"
21,0.99510536391424,0.994745924889662,0.995464932817623,"No","School membership"
22,0.99345561449481,0.993044223210762,0.993867176207108,"No","School membership"
23,0.991571405349005,0.991108015181319,0.992035012173649,"No","School membership"
24,0.989712064790698,0.989202695669182,0.99022169620113,"No","School membership"
25,0.987346387681425,0.986784306988817,0.987908788539953,"No","School membership"
26,0.984866419226345,0.984254200106693,0.98547901915438,"No","School membership"
27,0.982398911951393,0.98174081474487,0.983057450304833,"No","School membership"
28,0.979823446569798,0.979120900085293,0.98052649715095,"No","School membership"
29,0.977235194745014,0.976490874348518,0.977980082492283,"No","School membership"
30,0.97484252361835,0.974061722151214,0.975623950970805,"No","School membership"
31,0.972285650380054,0.971467890252215,0.973104098880234,"No","School membership"
32,0.96969044179976,0.968837001846187,0.970544633541046,"No","School membership"
33,0.967493597328375,0.966611169949361,0.968376830282685,"No","School membership"
34,0.965024238712432,0.964110523741972,0.965938819636563,"No","School membership"
35,0.962713217707402,0.961771289429836,0.963656068479629,"No","School membership"
36,0.960446233765987,0.959477553462304,0.961415892040992,"No","School membership"
37,0.957659234493237,0.956658886463527,0.958660628555336,"No","School membership"
38,0.95429540285577,0.953258435350665,0.955333498388246,"No","School membership"
39,0.949923476105842,0.948841259588209,0.951006926963339,"No","School membership"
40,0.944784704062449,0.943652222442138,0.945918544779459,"No","School membership"
41,0.939435326587503,0.938253379398636,0.940618762712289,"No","School membership"
42,0.933179163226752,0.931942681192064,0.934417285799911,"No","School membership"
43,0.926738711347792,0.925449288338977,0.928029930902043,"No","School membership"
44,0.919631779583991,0.918287287420741,0.920978240258841,"No","School membership"
45,0.912442221428956,0.9110451360864,0.913841449198246,"No","School membership"
46,0.905340689917811,0.903894380341233,0.906789313715428,"No","School membership"
47,0.898455110726678,0.896963403617531,0.89994929863949,"No","School membership"
48,0.892258614249436,0.890727791077697,0.893792068325482,"No","School membership"
49,0.886119105630367,0.884551078176139,0.887689912698071,"No","School membership"
50,0.880283353309463,0.878681275590593,0.881888352056797,"No","School membership"
51,0.875411293217136,0.873781671877528,0.877043953835084,"No","School membership"
52,0.871032964493133,0.86937925128416,0.872689823357324,"No","School membership"
53,0.867098089276831,0.865423235052813,0.868776184847461,"No","School membership"
54,0.863270615231762,0.8615756585204,0.86496890638999,"No","School membership"
55,0.85991850621911,0.85820628645089,0.86163414206174,"No","School membership"
56,0.856996955678465,0.85526993708646,0.858727461582591,"No","School membership"
57,0.854240120770307,0.852499355496287,0.855984440608585,"No","School membership"
58,0.851845143255957,0.850092595634809,0.853601303922532,"No","School membership"
59,0.849607535935219,0.847844108585523,0.851374631029948,"No","School membership"
60,0.847794411345684,0.846022243974264,0.849570290885685,"No","School membership"
61,0.845994361572647,0.844213607661762,0.847778871741975,"No","School membership"
62,0.844358741008447,0.842570247496265,0.846151030891379,"No","School membership"
63,0.842824613112168,0.841028918574793,0.844624141666188,"No","School membership"
64,0.841613576729043,0.839812218579443,0.843418798708093,"No","School membership"
65,0.840504343767156,0.838697826270757,0.842314752421208,"No","School membership"
66,0.839451644731929,0.83764025229096,0.841266954299094,"No","School membership"
67,0.838583240461129,0.836767834850351,0.840402584676374,"No","School membership"
68,0.837879373530295,0.836060710937549,0.839701992215683,"No","School membership"
69,0.837162436871867,0.835340469220293,0.838988378431381,"No","School membership"
70,0.836547290972308,0.834722487915583,0.838376083266467,"No","School membership"
71,0.836052349514747,0.834225253866168,0.83788344681455,"No","School membership"
72,0.835658748097011,0.833829815648512,0.837491692148165,"No","School membership"
73,0.83529714209379,0.833466520896193,0.837131784057532,"No","School membership"
74,0.834954175047951,0.833121948578403,0.836790431004229,"No","School membership"
75,0.834655979480545,0.832822351401464,0.83649364466541,"No","School membership"
76,0.834364186259092,0.832529187677414,0.836203229407429,"No","School membership"
77,0.834148306776288,0.832312273289589,0.835988390448323,"No","School membership"
78,0.833881737131634,0.832044447291143,0.835723084007744,"No","School membership"
79,0.833735700585455,0.831897686516072,0.835577775605812,"No","School membership"
80,0.833583102228588,0.831744334288592,0.835425935200828,"No","School membership"
81,0.833360762514065,0.831520935487511,0.835204660350317,"No","School membership"
82,0.833252624804938,0.831412241129843,0.835097082285907,"No","School membership"
83,0.833100140674192,0.83125900670742,0.83494535252073,"No","School membership"
84,0.833030011843389,0.831188488379972,0.834875615258241,"No","School membership"
85,0.832921781213442,0.831079701303251,0.834767944075473,"No","School membership"
86,0.832857940552279,0.831015498811935,0.83470446716417,"No","School membership"
87,0.83279422338552,0.830951421354132,0.834641112201332,"No","School membership"
