"time","measure","survival","cumulative_mortality"
0,"Observed",1,0
1,"Observed",0.999965,3.50000000000072e-05
2,"Observed",0.999935,6.49999999999817e-05
3,"Observed",0.999905,9.50000000000673e-05
4,"Observed",0.99985,0.000150000000000095
5,"Observed",0.999805,0.000195000000000056
6,"Observed",0.99974,0.000260000000000038
7,"Observed",0.99969,0.000310000000000032
8,"Observed",0.99965,0.000350000000000072
9,"Observed",0.999595,0.0004050000000001
10,"Observed",0.999505,0.000495000000000134
11,"Observed",0.999435,0.000565000000000149
12,"Observed",0.999345,0.000655000000000183
13,"Observed",0.999265,0.000735000000000152
14,"Observed",0.999095,0.000905000000000156
15,"Observed",0.998915,0.00108500000000022
16,"Observed",0.998685,0.00131500000000018
17,"Observed",0.998285,0.00171500000000024
18,"Observed",0.99783,0.00217000000000023
19,"Observed",0.99712,0.00288000000000022
20,"Observed",0.99625,0.00375000000000014
21,"Observed",0.995105,0.0048950000000002
22,"Observed",0.99352,0.00648000000000026
23,"Observed",0.991805,0.00819500000000029
24,"Observed",0.990075,0.0099250000000003
25,"Observed",0.988005,0.0119950000000003
26,"Observed",0.98582,0.0141800000000003
27,"Observed",0.98361,0.0163900000000003
28,"Observed",0.98133,0.0186700000000004
29,"Observed",0.979,0.0210000000000004
30,"Observed",0.97685,0.0231500000000003
31,"Observed",0.974605,0.0253950000000003
32,"Observed",0.97225,0.0277500000000003
33,"Observed",0.970275,0.0297250000000003
34,"Observed",0.96811,0.0318900000000003
35,"Observed",0.966045,0.0339550000000003
36,"Observed",0.963995,0.0360050000000003
37,"Observed",0.961485,0.0385150000000003
38,"Observed",0.958385,0.0416150000000003
39,"Observed",0.95443,0.0455700000000002
40,"Observed",0.94969,0.0503100000000002
41,"Observed",0.944865,0.0551350000000002
42,"Observed",0.939275,0.0607250000000001
43,"Observed",0.93354,0.0664600000000001
44,"Observed",0.927185,0.0728150000000001
45,"Observed",0.920895,0.0791050000000001
46,"Observed",0.914685,0.085315
47,"Observed",0.90872,0.09128
48,"Observed",0.90334,0.09666
49,"Observed",0.898085,0.101915
50,"Observed",0.89308,0.10692
51,"Observed",0.88893,0.11107
52,"Observed",0.885205,0.114795
53,"Observed",0.88187,0.11813
54,"Observed",0.87863,0.12137
55,"Observed",0.87584,0.12416
56,"Observed",0.87335,0.12665
57,"Observed",0.871,0.129
58,"Observed",0.869,0.131
59,"Observed",0.867125,0.132875
60,"Observed",0.865595,0.134405
61,"Observed",0.864085,0.135915
62,"Observed",0.862675,0.137325
63,"Observed",0.861385,0.138615
64,"Observed",0.860365,0.139635
65,"Observed",0.859435,0.140565
66,"Observed",0.858565,0.141435
67,"Observed",0.857845,0.142155
68,"Observed",0.857235,0.142765
69,"Observed",0.85664,0.14336
70,"Observed",0.856115,0.143885
71,"Observed",0.8557,0.1443
72,"Observed",0.855355,0.144645
73,"Observed",0.85506,0.14494
74,"Observed",0.85477,0.14523
75,"Observed",0.85452,0.14548
76,"Observed",0.854275,0.145725
77,"Observed",0.854085,0.145915
78,"Observed",0.85386,0.14614
79,"Observed",0.853735,0.146265
80,"Observed",0.853595,0.146405
81,"Observed",0.8534,0.1466
82,"Observed",0.8533,0.1467
83,"Observed",0.85317,0.14683
84,"Observed",0.853105,0.146895
85,"Observed",0.853005,0.146995
86,"Observed",0.85294,0.14706
87,"Observed",0.85288,0.14712
88,"Observed",0.852815,0.147185
89,"Observed",0.852765,0.147235
90,"Observed",0.852765,0.147235
0,"Expected",1,0
1,"Expected",0.999982850932811,1.71490671887486e-05
2,"Expected",0.999965704486223,3.4295513777316e-05
3,"Expected",0.999948561028794,5.14389712061858e-05
4,"Expected",0.999931421248923,6.85787510773528e-05
5,"Expected",0.999914285072344,8.57149276555225e-05
6,"Expected",0.999897151432637,0.000102848567363201
7,"Expected",0.99988002207722,0.000119977922779846
8,"Expected",0.999862896220831,0.000137103779169423
9,"Expected",0.999845774862667,0.000154225137332542
10,"Expected",0.999828658399474,0.000171341600525565
11,"Expected",0.999811549641107,0.0001884503588927
12,"Expected",0.999794444148149,0.000205555851851003
13,"Expected",0.999777343861064,0.000222656138935906
14,"Expected",0.99976024795289,0.000239752047109909
15,"Expected",0.99974316193208,0.000256838067920095
