"age_band","vaccination_state","person_days","observed_deaths","expected_deaths","observed_rate_per_1000_pd","expected_rate_per_1000_pd"
"0-4","After vaccination",88673,5,0.0284458944938843,0.0563869498043373,0.000320795444993226
"0-4","Before vaccination",786144,619,0.250854049048496,0.787387552407701,0.000319094274138702
"5-17","After vaccination",296809,6,0.0765391684105209,0.0202150204340165,0.000257873475570218
"5-17","Before vaccination",2619157,2228,0.667192321498274,0.850655382628838,0.000254735520435878
"18-39","After vaccination",487966,18,0.545845152273641,0.0368878159543903,0.00111861308425923
"18-39","Before vaccination",4212591,3010,4.72035489106974,0.714524623919103,0.00112053481837419
"40-64","After vaccination",557080,55,4.99215654454949,0.0987290873842177,0.00896129199495492
"40-64","Before vaccination",4854065,4692,43.5896111074747,0.966612519609853,0.00898002212732518
"65-85","After vaccination",230947,223,15.1063655065501,0.965589507549351,0.0654105292839922
"65-85","Before vaccination",2515198,18591,169.627253920777,7.39146580110194,0.067440914759306
